tipo_territorio,territorio,orgão,lista(2025),votos(2025),lista(2021),votos(2021)
freguesia,Encosta do Sol,af,PPD/PSD.CDS-PP.PPM.MPT.RIR,2301,PPD/PSD.CDS-PP.A.MPT.PDR,1827
freguesia,Encosta do Sol,af,CH,2057,PCP-PEV,1155
freguesia,Encosta do Sol,af,PCP-PEV,812,CH,654
freguesia,Encosta do Sol,af,L,360,B.E.,523
freguesia,Encosta do Sol,af,IL,286,PAN,346
freguesia,Encosta do Sol,af,B.E.,151,PPM/R.I.R.,84
freguesia,Falagueira-Venda Nova,cm,PS,3135,PS,3565
freguesia,Falagueira-Venda Nova,cm,PPD/PSD.CDS-PP.PPM.MPT.RIR,2200,PPD/PSD.CDS-PP.A.MPT.PDR,1569
freguesia,Falagueira-Venda Nova,cm,CH,1371,PCP-PEV,849
freguesia,Falagueira-Venda Nova,cm,PCP-PEV,735,B.E.,401
freguesia,Falagueira-Venda Nova,cm,L,252,CH,396
freguesia,Falagueira-Venda Nova,cm,IL,209,PAN,242
freguesia,Falagueira-Venda Nova,cm,B.E.,157,IL,181
freguesia,Falagueira-Venda Nova,cm,ADN,69,PPM/R.I.R.,31
freguesia,Falagueira-Venda Nova,cm,,,MAS,21
freguesia,Falagueira-Venda Nova,am,PS,3040,PS,3321
freguesia,Falagueira-Venda Nova,am,PPD/PSD.CDS-PP.PPM.MPT.RIR,2028,PPD/PSD.CDS-PP.A.MPT.PDR,1544
freguesia,Falagueira-Venda Nova,am,CH,1493,PCP-PEV,944
freguesia,Falagueira-Venda Nova,am,PCP-PEV,757,CH,525
freguesia,Falagueira-Venda Nova,am,L,354,B.E.,509
freguesia,Falagueira-Venda Nova,am,IL,253,PAN,346
freguesia,Falagueira-Venda Nova,am,B.E.,207,PPM/R.I.R.,29
freguesia,Falagueira-Venda Nova,am,,,MAS,25
freguesia,Falagueira-Venda Nova,af,PS,3362,PS,3396
freguesia,Falagueira-Venda Nova,af,PPD/PSD.CDS-PP.PPM.MPT.RIR,1917,PPD/PSD.CDS-PP.A.MPT.PDR,1480
freguesia,Falagueira-Venda Nova,af,CH,1442,PCP-PEV,985
freguesia,Falagueira-Venda Nova,af,PCP-PEV,800,CH,517
freguesia,Falagueira-Venda Nova,af,IL,258,B.E.,508
freguesia,Falagueira-Venda Nova,af,B.E.,246,PAN,369
freguesia,Falagueira-Venda Nova,af,ADN,99,,
freguesia,Mina de Água,cm,PS,5680,PS,6896
freguesia,Mina de Água,cm,PPD/PSD.CDS-PP.PPM.MPT.RIR,5601,PPD/PSD.CDS-PP.A.MPT.PDR,4012
freguesia,Mina de Água,cm,CH,3592,PCP-PEV,1404
freguesia,Mina de Água,cm,PCP-PEV,1142,CH,890
freguesia,Mina de Água,cm,L,609,B.E.,819
freguesia,Mina de Água,cm,IL,448,PAN,507
freguesia,Mina de Água,cm,B.E.,304,IL,353
freguesia,Mina de Água,cm,ADN,73,PPM/R.I.R.,113
freguesia,Mina de Água,cm,,,MAS,56
freguesia,Mina de Água,am,PS,5312,PS,6388
freguesia,Mina de Água,am,PPD/PSD.CDS-PP.PPM.MPT.RIR,5115,PPD/PSD.CDS-PP.A.MPT.PDR,3856
freguesia,Mina de Água,am,CH,3881,PCP-PEV,1609
freguesia,Mina de Água,am,PCP-PEV,1333,CH,1103
freguesia,Mina de Água,am,L,828,B.E.,1039
freguesia,Mina de Água,am,IL,590,PAN,721
freguesia,Mina de Água,am,B.E.,359,PPM/R.I.R.,133
freguesia,Mina de Água,am,,,MAS,79
freguesia,Mina de Água,af,PS,5428,PS,6420
freguesia,Mina de Água,af,PPD/PSD.CDS-PP.PPM.MPT.RIR,5184,PPD/PSD.CDS-PP.A.MPT.PDR,3838
freguesia,Mina de Água,af,CH,3845,PCP-PEV,1707
freguesia,Mina de Água,af,PCP-PEV,1292,CH,1083
freguesia,Mina de Água,af,L,776,B.E.,1036
freguesia,Mina de Água,af,IL,557,PAN,739
freguesia,Mina de Água,af,B.E.,351,PPM/R.I.R.,127
freguesia,Venteira,cm,PPD/PSD.CDS-PP.PPM.MPT.RIR,3551,PS,4014
freguesia,Venteira,cm,PS,3267,PPD/PSD.CDS-PP.A.MPT.PDR,2447
freguesia,Venteira,cm,CH,1728,PCP-PEV,1048
freguesia,Venteira,cm,PCP-PEV,795,B.E.,507
freguesia,Venteira,cm,IL,771,CH,469
freguesia,Venteira,cm,L,462,PAN,293
freguesia,Venteira,cm,B.E.,193,IL,238
freguesia,Venteira,cm,ADN,178,PPM/R.I.R.,76
freguesia,Venteira,cm,,,MAS,43
freguesia,Venteira,am,PPD/PSD.CDS-PP.PPM.MPT.RIR,3275,PS,3677
freguesia,Venteira,am,PS,3147,PPD/PSD.CDS-PP.A.MPT.PDR,2393
freguesia,Venteira,am,CH,1850,PCP-PEV,1182
freguesia,Venteira,am,PCP-PEV,930,B.E.,665
freguesia,Venteira,am,L,604,CH,579
freguesia,Venteira,am,IL,422,PAN,427
freguesia,Venteira,am,B.E.,260,PPM/R.I.R.,86
freguesia,Venteira,am,,,MAS,63
freguesia,Venteira,af,PPD/PSD.CDS-PP.PPM.MPT.RIR,3260,PS,3649
freguesia,Venteira,af,PS,3226,PPD/PSD.CDS-PP.A.MPT.PDR,2444
freguesia,Venteira,af,CH,1827,PCP-PEV,1241
freguesia,Venteira,af,PCP-PEV,964,B.E.,668
freguesia,Venteira,af,L,590,CH,553
freguesia,Venteira,af,IL,417,PAN,438
freguesia,Venteira,af,B.E.,240,PPM/R.I.R.,117
